,age,lake,lakenorm,char,charnorm,Poa,Poanorm,Podo,Podonorm,Miombo,Miombonorm,Olea,Oleanorm,rich,richnorm,Asters,Age
49,96.37773085,-0.488424464,0.00411534,8.206256646,0.336910004,40.82278481,0.262529587,35.12658228,0.850182812,0,0.148747214,1.898734177,0.278094968,2.601821819,0.207538037,0,>85 ka
50,96.66853276,-0.303270026,0.048175801,9.523085855,0.340713706,72.09302326,0.856938233,18.27242525,0.415909352,0.332225914,0.211758912,2.325581395,0.326954958,1.750169345,0.089759595,0,>85 ka
51,96.9909919,-0.042966825,0.387615708,1.30393305,0.317251723,33.67346939,0.152741238,40.81632653,0.927726008,0,0.148747214,8.503401361,0.942993116,3.321497279,0.355894435,0,>85 ka
52,97.33916196,-0.118007617,0.247436143,19.96260018,0.371415431,20.15355086,0.03914298,57.19769674,0.996247867,0.767754319,0.314279467,2.687140115,0.370849489,3.024386064,0.289997807,0,>85 ka
53,97.61690606,-0.173261995,0.164797197,1.730661757,0.318452959,15.58704453,0.02225256,56.27530364,0.995409092,0,0.148747214,3.846153846,0.520339631,3.515686906,0.401589437,0.20242915,>85 ka
54,98.0855747,-0.183221647,0.15206248,1.088505668,0.316646027,41.64133739,0.277257724,20.97264438,0.495144148,0.607902736,0.274270079,1.823708207,0.269889235,3.492017739,0.395932977,0.911854103,>85 ka
55,98.75188642,-0.131166337,0.225964543,0.367055922,0.314621183,29.65517241,0.106844084,39.65517241,0.915119609,2.75862069,0.832317835,3.793103448,0.513395838,4.557534469,0.653857054,0.689655172,>85 ka
56,99.11348015,-0.091716155,0.293402529,0,0.313593122,28.85714286,0.09905946,38.57142857,0.901929225,1.714285714,0.580924343,4.571428571,0.613778213,6.092496077,0.910852505,1.714285714,>85 ka
57,99.49607524,0.014414268,0.507206464,0,0.313593122,28.75,0.098046732,45.41666667,0.964080491,1.25,0.447009168,2.5,0.347876619,4.561048568,0.654659241,0,>85 ka
58,99.76912619,0.055405266,0.592875646,0,0.313593122,27.85087719,0.089845584,49.12280702,0.981002776,0.657894737,0.286509482,5.921052632,0.768033254,4.930136342,0.734482317,0.438596491,>85 ka
59,100.0443528,0.057947982,0.598088315,0.499959108,0.314993777,30.02364066,0.110583716,44.20803783,0.956415837,1.182033097,0.427546082,5.673758865,0.742533565,6.245829207,0.925200491,0.236406619,>85 ka
60,100.478527,0.056382783,0.594881596,4.369047316,0.325922019,23.8410596,0.059381662,49.66887417,0.982802095,0.662251656,0.287588331,4.635761589,0.621836055,6.728371962,0.959042672,0.220750552,>85 ka
61,101.0838918,0.019894277,0.518767163,9.886009306,0.341764895,29.83870968,0.108695263,42.94354839,0.947036787,0.403225806,0.227011577,6.653225806,0.834679774,6.457568507,0.942028602,0.60483871,>85 ka
62,104.8736966,0.209118714,0.852737627,91.9621148,0.594933759,34.5971564,0.164912784,36.72985782,0.87617712,0.947867299,0.362105845,7.109004739,0.869174751,5.920023451,0.892373255,0.236966825,>85 ka
63,105.6835275,0.201394839,0.843123925,85.75423802,0.575835264,40.32258065,0.253730794,29.83870968,0.740591025,0.403225806,0.227011577,4.435483871,0.596592522,3.686090118,0.442852317,0.806451613,>85 ka
64,106.5295452,0.230069986,0.87679238,35.75095929,0.419382268,36,0.184566139,22.22222222,0.532069497,3.111111111,0.888688579,1.777777778,0.264926251,5.705566638,0.865741011,2.666666667,>85 ka
65,107.1818591,0.218636893,0.864030435,52.44361372,0.471419242,35.31914894,0.174852199,34.89361702,0.846122834,0.85106383,0.336074628,8.085106383,0.925495697,4.188408738,0.56640759,0.425531915,>85 ka
66,108.1310318,0.210716061,0.854675449,30.35747974,0.402821763,43.50282486,0.312181851,25.42372881,0.62469556,2.259887006,0.726028549,4.802259887,0.642438001,6.510219968,0.945712269,0.847457627,>85 ka
67,109.0428263,0.134538354,0.743328788,28.74972631,0.397917326,48.77384196,0.419668516,28.61035422,0.71024371,1.36239782,0.479454948,3.542234332,0.480539901,5.579652204,0.848149816,0.272479564,>85 ka
68,110.7077309,0.096489778,0.674483238,26.52615716,0.391160999,53.04347826,0.51183921,23.26086957,0.562566572,2.173913043,0.70483322,4.347826087,0.585409046,6.398051017,0.937631072,0,>85 ka
69,111.6467818,0.123901418,0.724867141,25.27200445,0.387364543,46.12403101,0.364300547,26.9379845,0.666440491,1.937984496,0.643138626,5.23255814,0.69367326,7.976738262,0.994006477,0.19379845,>85 ka
70,112.5885004,0.160725027,0.785876773,23.62239493,0.382387408,39.94252874,0.247150538,35.91954023,0.8634625,1.724137931,0.58372027,8.908045977,0.956670263,4.951211426,0.738742533,0.287356322,>85 ka
71,113.4678472,0.159159133,0.783453761,19.61259409,0.370371415,31.61157025,0.127771441,38.84297521,0.905367341,2.479338843,0.776480489,7.438016529,0.890753138,6.010218726,0.902354862,0,>85 ka
72,114.8293101,0.142087139,0.756028041,48.35533178,0.458594395,38.66171004,0.225662837,34.57249071,0.84040815,1.486988848,0.515571211,4.089219331,0.552043779,4.380500611,0.612620759,0.743494424,>85 ka
73,115.8467631,0.14042064,0.753253979,47.9624773,0.457364072,32.11678832,0.133610098,38.32116788,0.898680372,1.459854015,0.507706041,5.474452555,0.720970006,5.003400802,0.749139096,1.094890511,>85 ka
74,117.1048013,0.0732359,0.629031929,37.92954421,0.426114025,36,0.184566139,40.4,0.92338217,2,0.659807853,3.6,0.48810178,4.693552206,0.684372474,0.4,>85 ka
75,118.0032809,-0.024562561,0.425374948,36.15733078,0.420636216,48.38709677,0.411458615,20.96774194,0.494999154,1.209677419,0.43544385,4.435483871,0.596592522,2.801892039,0.244740865,0,>85 ka
76,118.7163299,-0.002502215,0.471523672,36.7643694,0.422510863,21.14695341,0.043944296,48.02867384,0.97691273,2.150537634,0.698942552,6.810035842,0.847157865,4.813385756,0.71026122,0.358422939,>85 ka
77,119.6160882,0.102974246,0.686741925,37.53035888,0.424878882,29.05982906,0.100996163,35.47008547,0.856037703,0.854700855,0.337039503,5.128205128,0.681544025,4.207734097,0.571109438,0.427350427,>85 ka
78,120.4713872,0.234197991,0.881187068,38.25849891,0.427132408,32.29166667,0.135673208,27.86458333,0.691041435,1.041666667,0.387954348,4.6875,0.628278352,6.336458031,0.932810658,0.520833333,>85 ka
79,121.0139491,0.309868918,0.943097216,38.72039708,0.428563179,37.21881391,0.20277435,29.44785276,0.731115427,2.862985685,0.850650169,8.384458078,0.938383784,5.800803981,0.878079887,0.408997955,>85 ka
80,123.320528,0.241658232,0.888846,40.68405241,0.434656041,85.56034483,0.964051741,1.293103448,0.07061354,0,0.148747214,1.724137931,0.259189528,4.648684021,0.674431774,0,>85 ka
81,123.8406034,0.073077495,0.628715168,41.12680718,0.436032028,86.2745098,0.967016599,2.521008403,0.08376277,0,0.148747214,1.120448179,0.199308814,4.204916968,0.570424644,0,>85 ka
82,124.3355528,-0.141391743,0.210033355,215.3249245,0.887640918,82.43727599,0.948424421,1.075268817,0.068456268,0,0.148747214,0,0.112748849,4.894838095,0.727268875,0,>85 ka
